Ergebnisart;Datum;LEER;LEER;LEER;Satzart;Schlüsselnummer;Name;Wahllokal;A - Wahlberechtigte;B - Wähler;C1 - Ungültige Stimmzettel;C2 - Gültige Stimmzettel;D - Gültige Stimmen;D01 - CDU;D02 - AfD;D03 - DIE LINKE;D04 - SPD;D05 - FDP;D06 - GRÜNE;D07 - FREIE WÄHLER;D08 - dieBasis;D09 - Tierschutzpartei;D10 - Gartenpartei;D11 - Die PARTEI;D12 - Tierschutzallianz;D13 - HEIMAT;D14 - FBM;D15 - Volt;D16 - WG1;D17 - WG2;D18 - WG3;D19 - WG4;D20 - WG5;D21 - WG6;D22 - WG7;D23 - WG8;D24 - WG9;D25 - WG10;D26 - WG11;D27 - WG12;D28 - WG13;D29 - WG14;D30 - WG15;D31 - WG16;D32 - WG17;D33 - WG18;D34 - WG19;D35 - WG20;D36 - WG21;D37 - WG22;D38 - WG23;D39 - WG24;D40 - WG25;D41 - WG26;D42 - WG27;D43 - WG28;D44 - WG29;D45 - WG30;D46 - WG31;D47 - WG32;D48 - WG33;D49 - WG34;D50 - WG35;D51 - WG36;D52 - WG37;D53 - WG38;D54 - WG39;D55 - WG40;D56 - WG41;D57 - WG42;D58 - WG43;D59 - WG44;D60 - WG45;D61 - WG46;D62 - EB1;D63 - EB2;D64 - EB3;D65 - EB4;D66 - EB5;D67 - EB6;D68 - EB7;D69 - EB8;D70 - EB9;D71 - EB10;D72 - EB11;D73 - EB12;D74 - EB13;WG (Summe);EB (Summe);
E;09.06.2024;;;;GEM;15081240;Stadt Kalbe (Milde); ;6149;3840;114;3726;11031;2176;2945;759;1996;70;348; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2737; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2737; ;
E;09.06.2024;;;;GEM;15081280;Stadt Klötze; ;8470;5548;90;5458;16255;6376;4159;1215;2474;445;355; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1231; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1231; ;
E;09.06.2024;;;;GEM;15081290;Gemeinde Kuhfelde; ;887;644;12;632;1884;336;488;132;74;29;84; ; ; ; ; ; ; ; ; ; ; ; ; ; ;741; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;741; ;
E;09.06.2024;;;;GEM;15081440;Gemeinde Rohrberg; ;859;600;3;597;1755;579;622;113;151;11;59; ; ; ; ; ; ; ; ; ; ; ; ; ; ;220; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;220; ;
E;09.06.2024;;;;GEM;15081455;Hansestadt Salzwedel; ;19038;11543;180;11363;33722;5671;8874;4186;4753;1627;1490; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7121; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7121; ;
E;09.06.2024;;;;GEM;15081545;Gemeinde Wallstawe; ;734;482;5;477;1414;283;343;123;62;76;143; ; ; ; ; ; ; ; ; ; ; ; ; ; ;384; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;384; ;
E;09.06.2024;;;;GEM;15082005;Stadt Aken (Elbe); ;6226;3947;99;3848;11353;2538;3579;1593;787;1541;550;475; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;19; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;271; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;290; ;
E;09.06.2024;;;;GEM;15082015;Stadt Bitterfeld-Wolfen; ;31688;16940;365;16575;49062;11379;18209;3966;2827;1077;1544;4385; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5675; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5675; ;
E;09.06.2024;;;;GEM;15082180;Stadt Köthen (Anhalt); ;20707;11298;283;11015;32424;7335;9177;7027;2936;2841;1060; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;47; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2048; ;
E;09.06.2024;;;;GEM;15082241;Gemeinde Muldestausee; ;10001;6897;195;6702;19965;4167;7018;1115;1400;2070;617;3442; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;136; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;136; ;
E;09.06.2024;;;;GEM;15082256;Gemeinde Osternienburger Land; ;7083;4394;93;4301;12759;4997;4266;1440;601;250;263;608; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;322; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;334; ;
E;09.06.2024;;;;GEM;15082301;Stadt Raguhn-Jeßnitz; ;7755;5298;83;5215;15461;3504;6659;1179;390;173;281;2646; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;629; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;629; ;
E;09.06.2024;;;;GEM;15082340;Stadt Sandersdorf-Brehna; ;12642;8159;238;7921;23572;8456;7199;1076;3169;598;627;2153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;294; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;294; ;
E;09.06.2024;;;;GEM;15082377;Stadt Südliches Anhalt; ;11165;7223;172;7051;20892;5624;6786;3183;444;292;386;299; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3853; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3878; ;
E;09.06.2024;;;;GEM;15082430;Stadt Zerbst/Anhalt; ;18475;10944;226;10718;31786;5266;9308;1498;7435;566;1236; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;30; ; ; ; ; ; ; ; ; ;6447; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6477; ;
E;09.06.2024;;;;GEM;15082440;Stadt Zörbig; ;7867;5335;89;5246;15626;7102;4107;390;608;483;215;2675; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;46; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;46; ;
E;09.06.2024;;;;GEM;15083020;Gemeinde Altenhausen; ;896;617;15;602;1791;692;491;191;242;16;39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;64; ; ; ; ; ; ; ; ; ; ; ; ; ;29; ; ; ; ; ; ; ; ; ; ; ; ;27; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;120; ;
E;09.06.2024;;;;GEM;15083025;Gemeinde Am Großen Bruch; ;1752;1285;37;1248;3707;1412;1015;86;806;13;26; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;304; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;45; ; ; ; ; ; ; ;304;45;
E;09.06.2024;;;;GEM;15083030;Gemeinde Angern; ;1614;1148;33;1115;3320;1453;977;233;195;61;74; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;270; ; ; ; ; ; ; ; ; ;57; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;327; ;
E;09.06.2024;;;;GEM;15083035;Gemeinde Ausleben; ;1404;848;33;815;2394;595;820;116;462;16;23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;307; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;55; ; ; ; ; ; ; ;307;55;
E;09.06.2024;;;;GEM;15083040;Gemeinde Barleben; ;7692;5223;99;5124;15079;5454;3936;910;1223;1630;485; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1046; ; ; ; ; ; ; ; ; ;395; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1441; ;
E;09.06.2024;;;;GEM;15083060;Gemeinde Beendorf; ;697;408;13;395;1182;511;350;65;138;18;42; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;29; ; ; ; ; ; ; ; ; ; ; ; ; ;14; ; ; ; ; ; ; ; ; ; ; ; ;15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;58; ;
E;09.06.2024;;;;GEM;15083115;Gemeinde Bülstringen; ;726;541;12;529;1568;607;445;79;149;31;21; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;147; ; ; ; ; ; ; ; ; ; ; ; ; ;47; ; ; ; ; ; ; ; ; ; ; ; ;42; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;236; ;
E;09.06.2024;;;;GEM;15083120;Gemeinde Burgstall; ;1272;890;13;877;2600;902;983;202;176;43;35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;189; ; ; ; ; ; ; ; ; ;70; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;259; ;
E;09.06.2024;;;;GEM;15083125;Gemeinde Calvörde; ;2889;1723;19;1704;5045;1492;1133;260;360;231;117; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1362; ; ; ; ; ; ; ; ; ; ; ; ; ;52; ; ; ; ; ; ; ; ; ; ; ; ;38; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1452; ;
E;09.06.2024;;;;GEM;15083130;Gemeinde Colbitz; ;2819;1885;27;1858;5532;2333;1689;429;394;172;115; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;192; ; ; ; ; ; ; ; ; ;208; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;400; ;
E;09.06.2024;;;;GEM;15083190;Gemeinde Eilsleben; ;3125;1932;60;1872;5531;2108;1418;445;512;81;211; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;714; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;42; ; ; ; ; ; ; ;714;42;
E;09.06.2024;;;;GEM;15083205;Gemeinde Erxleben; ;2354;1511;59;1452;4300;1665;1260;371;400;60;186; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;165; ; ; ; ; ; ; ; ; ; ; ; ; ;112; ; ; ; ; ; ; ; ; ; ; ; ;81; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;358; ;
E;09.06.2024;;;;GEM;15083230;Gemeinde Flechtingen; ;2335;1447;34;1413;4172;1898;1025;283;470;17;134; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;248; ; ; ; ; ; ; ; ; ; ; ; ; ;48; ; ; ; ; ; ; ; ; ; ; ; ;49; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;345; ;
E;09.06.2024;;;;GEM;15083245;Stadt Gröningen; ;3000;1863;44;1819;5421;975;1479;200;1848;24;76; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;587; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;232; ; ; ; ; ; ; ;587;232;
E;09.06.2024;;;;GEM;15083270;Stadt Haldensleben; ;16058;8637;234;8403;24801;6289;6964;2300;4632;256;1020; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;426; ; ; ; ; ; ; ; ; ; ; ; ; ;1129; ; ; ; ; ; ; ; ; ; ; ; ;1785; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3340; ;
E;09.06.2024;;;;GEM;15083275;Gemeinde Harbke; ;1207;743;23;720;2110;281;631;90;896;5;53; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ; ; ; ; ; ;144;10;
E;09.06.2024;;;;GEM;15083298;Gemeinde Hohe Börde; ;15782;9695;192;9503;28269;7740;7831;1527;2604;1296;912; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3039; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3320; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6359; ;
E;09.06.2024;;;;GEM;15083320;Gemeinde Hötensleben; ;2985;1750;36;1714;5026;1689;1397;238;477;27;86; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1033; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;79; ; ; ; ; ; ; ;1033;79;
E;09.06.2024;;;;GEM;15083323;Gemeinde Ingersleben; ;1116;762;24;738;2176;954;673;112;224;30;50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;76; ; ; ; ; ; ; ; ; ; ; ; ; ;35; ; ; ; ; ; ; ; ; ; ; ; ;22; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;133; ;
E;09.06.2024;;;;GEM;15083355;Stadt Kroppenstedt; ;1166;749;26;723;2160;434;631;58;203;221;32; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;559; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;22; ; ; ; ; ; ; ;559;22;
E;09.06.2024;;;;GEM;15083361;Gemeinde Loitsche-Heinrichsberg; ;796;573;17;556;1646;646;551;67;154;22;37; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;82; ; ; ; ; ; ; ; ; ;87; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;169; ;
E;09.06.2024;;;;GEM;15083390;Gemeinde Niedere Börde; ;5898;3932;95;3837;11206;4272;3360;675;924;541;225; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;724; ; ; ; ; ; ; ; ; ;485; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1209; ;
E;09.06.2024;;;;GEM;15083411;Stadt Oebisfelde-Weferlingen; ;11452;7097;134;6963;20617;5579;4774;1404;3642;349;825; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3864; ; ; ; ; ; ; ; ; ; ; ; ; ;108; ; ; ; ; ; ; ; ; ; ; ; ;72; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4044; ;
E;09.06.2024;;;;GEM;15083415;Stadt Oschersleben (Bode); ;15936;9323;244;9079;26925;8116;8150;1707;4161;182;441; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3346; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;822; ; ; ; ; ; ; ;3346;822;
E;09.06.2024;;;;GEM;15083440;Gemeinde Rogätz; ;1821;1191;25;1166;3472;1273;1153;197;356;71;52; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;220; ; ; ; ; ; ; ; ; ;150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;370; ;
E;09.06.2024;;;;GEM;15083485;Gemeinde Sommersdorf; ;1135;759;15;744;2205;373;751;89;429;8;114; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;416; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;25; ; ; ; ; ; ; ;416;25;
E;09.06.2024;;;;GEM;15083490;Gemeinde Sülzetal; ;7558;5194;110;5084;15092;4304;4202;701;1964;424;298; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2853; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;346; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3199; ;
E;09.06.2024;;;;GEM;15083505;Gemeinde Ummendorf; ;794;513;9;504;1498;618;324;84;117;7;161; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;178; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9; ; ; ; ; ; ; ;178;9;
E;09.06.2024;;;;GEM;15083515;Gemeinde Völpke; ;1035;626;18;608;1797;459;680;100;198;8;48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;292; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ;292;12;
E;09.06.2024;;;;GEM;15083531;Stadt Wanzleben-Börde; ;11870;7187;137;7050;20892;7573;5600;1770;1963;1203;466; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1789; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;528; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2317; ;
E;09.06.2024;;;;GEM;15083535;Gemeinde Wefensleben; ;1394;822;17;805;2355;423;596;274;186;9;65; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;800; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;800;2;
E;09.06.2024;;;;GEM;15083557;Gemeinde Westheide; ;1458;1018;23;995;2945;1500;838;143;149;82;59; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;118; ; ; ; ; ; ; ; ; ;56; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;174; ;
E;09.06.2024;;;;GEM;15083565;Stadt Wolmirstedt; ;9824;5993;133;5860;17280;3921;5172;862;1862;386;527; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1940; ; ; ; ; ; ; ; ; ;2610; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4550; ;
E;09.06.2024;;;;GEM;15083580;Gemeinde Zielitz; ;1557;972;23;949;2805;743;897;109;631;40;32; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;174; ; ; ; ; ; ; ; ; ;179; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;353; ;
