Stimmart,AGS,"Landkreis-nummer","Gemeinde-nummer",Gemeindename,Art des Wahl-vorschlags,Kurzname,"MerkmalLangname",Anzahl,in Prozent,Sitze,darunter Sitze weiblich
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",P,FDP,Freie Demokratische Partei,5429,4.1,2,1
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",P,NPD,Nationaldemokratische Partei Deutschlands,1073,0.8,0,0
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",LV,SUB,SUB,2458,1.8,1,0
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",WG,UC!,Unser Cottbus!,12544,9.4,5,1
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",,Wahlberechtigt,Wahlberechtigt,48215,100,0,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",,Wähler,Wähler,23428,48.6,0,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",,Wahlschein,Wahlschein,4844,20.7,0,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",,Gueltig,Gueltig,67284,95.7,0,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",,Ungueltig,Ungueltig,541,2.3,0,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",,Sitze,Sitze,46,100,0,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",P,DIE LINKE,DIE LINKE,15307,22.7,10,4
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",P,CDU,Christlich Demokratische Union Deutschlands,13387,19.9,9,1
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,6925,10.3,5,1
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",P,AfD,Alternative für Deutschland,12626,18.8,9,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",LV,GRÜNE/B 90 & BI Stadtentwicklung,Bündnis 90/DIE GRÜNEN & Bürgerinitiative Stadtentwicklung,8077,12,6,2
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",WG,Bürgerinitiative Stadtumbau,Bürgerinitiative Stadtumbau,2003,3,1,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",P,FDP,Freie Demokratische Partei,3398,5.1,2,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",P,PIRATEN,Piratenpartei Deutschland,697,1,0,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",LV,FBI / BVB / FREIE WÄHLER,Frankfurter-Bürger-Initiative / BVB / FREIE WÄHLER,2465,3.7,2,0
Gemeindevertretung,12053000,53,000,"Frankfurt (Oder), Stadt",P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",2399,3.6,2,1
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",,Wahlberechtigt,Wahlberechtigt,141443,100,0,0
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",,Wähler,Wähler,88055,62.3,0,0
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",,Wahlschein,Wahlschein,23837,27.1,0,0
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",,Gueltig,Gueltig,258636,97.9,0,0
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",,Ungueltig,Ungueltig,1124,1.3,0,0
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",,Sitze,Sitze,56,100,0,0
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",P,DIE LINKE,DIE LINKE,46761,18.1,10,5
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,49898,19.3,11,4
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,32078,12.4,7,1
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,48739,18.8,10,5
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",WG,aNDERE,DIE aNDERE,26754,10.3,6,3
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",PV,Bürgerbündnis,Bürgerbündnis freier Wähler e.V.,10124,3.9,2,1
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",P,AfD,Alternative für Deutschland,24508,9.5,5,0
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",P,FDP,Freie Demokratische Partei,12620,4.9,3,2
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",LV,BVB / FREIE WÄHLER,Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler,2985,1.2,1,0
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",EB,Einzelbewerber,Charnow,214,0.1,0,0
Gemeindevertretung,12054000,54,000,"Potsdam, Stadt",P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",3955,1.5,1,0
Gemeindevertretung,12060005,60,005,Ahrensfelde,,Wahlberechtigt,Wahlberechtigt,11709,100,0,0
Gemeindevertretung,12060005,60,005,Ahrensfelde,,Wähler,Wähler,7669,65.5,0,0
Gemeindevertretung,12060005,60,005,Ahrensfelde,,Wahlschein,Wahlschein,1745,22.8,0,0
Gemeindevertretung,12060005,60,005,Ahrensfelde,,Gueltig,Gueltig,22371,97.2,0,0
Gemeindevertretung,12060005,60,005,Ahrensfelde,,Ungueltig,Ungueltig,128,1.7,0,0
Gemeindevertretung,12060005,60,005,Ahrensfelde,,Sitze,Sitze,22,100,0,0
Gemeindevertretung,12060005,60,005,Ahrensfelde,P,DIE LINKE,DIE LINKE,2948,13.2,3,1
Gemeindevertretung,12060005,60,005,Ahrensfelde,P,CDU,Christlich Demokratische Union Deutschlands,3797,17,4,2
Gemeindevertretung,12060005,60,005,Ahrensfelde,P,SPD,Sozialdemokratische Partei Deutschlands,2845,12.7,3,0
Gemeindevertretung,12060005,60,005,Ahrensfelde,LV,Die Ahrensfelder Unabhängigen - BVB / Freie Wähler,Die Ahrensfelder Unabhängigen - Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler,2409,10.8,2,1
Gemeindevertretung,12060005,60,005,Ahrensfelde,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,1806,8.1,2,1
Gemeindevertretung,12060005,60,005,Ahrensfelde,WG,FWG,Freie Wählergemeinschaft,3363,15,3,1
Gemeindevertretung,12060005,60,005,Ahrensfelde,P,FDP,Freie Demokratische Partei,487,2.2,0,0
Gemeindevertretung,12060005,60,005,Ahrensfelde,P,AfD,Alternative für Deutschland,3072,13.7,3,1
Gemeindevertretung,12060005,60,005,Ahrensfelde,WG,BVE,Bürgerverein Eiche e.V.,1644,7.3,2,1
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",,Wahlberechtigt,Wahlberechtigt,33448,100,0,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",,Wähler,Wähler,18914,56.5,0,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",,Wahlschein,Wahlschein,4452,23.5,0,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",,Gueltig,Gueltig,54509,96.1,0,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",,Ungueltig,Ungueltig,398,2.1,0,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",,Sitze,Sitze,36,100,0,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",P,DIE LINKE,DIE LINKE,11294,20.7,7,3
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,7645,14,5,1
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,5780,10.6,4,2
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",LV,BVB / FREIE WÄHLER Bernau: 1. Die Unabhängigen 2. Freie Wähler,"Listenvereinigung: Brandenburger Vereinigte Bürgerbewegung / Freie Wähler Bernau - Die Unabhängigen: 1. Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler Bernau - Die Unabhängigen, 2. Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler",11740,21.5,8,3
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,4472,8.2,3,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",P,FDP,Freie Demokratische Partei,859,1.6,1,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",WG,BfB,Bündnis für Bernau e. V.,3749,6.9,3,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",P,AfD,Alternative für Deutschland,6610,12.1,4,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",1250,2.3,1,1
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",P,PIRATEN,Piratenpartei Deutschland,699,1.3,0,0
Gemeindevertretung,12060020,60,020,"Bernau bei Berlin, Stadt",LV,LfB 1. BIL 2. WGL,Listenvereinigung Lobetaler für Bernau (LfB): 1. Bürgerinitiative Lobetal (BIL) 2. Wählergemeinschaft Lobetal (WGL),411,0.8,0,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",,Wahlberechtigt,Wahlberechtigt,34216,100,0,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",,Wähler,Wähler,15492,45.3,0,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",,Wahlschein,Wahlschein,3502,22.6,0,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",,Gueltig,Gueltig,44957,96.7,0,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",,Ungueltig,Ungueltig,327,2.1,0,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",,Sitze,Sitze,36,100,0,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",P,DIE LINKE,DIE LINKE,5968,13.3,5,3
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,5464,12.2,4,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,6539,14.5,5,2
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",LV,Gegen B167neu!,Für Umwelt und Natur - Gegen B167neu!,718,1.6,1,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,4768,10.6,4,3
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",WG,Bürgerfraktion Barnim,Bürgerfraktion Barnim,1768,3.9,1,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",P,FDP,Freie Demokratische Partei,3250,7.2,3,1
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",P,AfD,Alternative für Deutschland,5998,13.3,5,1
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",LV,PARTEI/ALE,Die PARTEI Alternative Liste Eberswalde Bürgerinitiative Radwege in Eberswalde,1494,3.3,1,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",EB,EB Zinn,Einzelwahlvorschlag Zinn,702,1.6,1,0
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",WG,BfE,Bürger für Eberswalde,4015,8.9,3,1
Gemeindevertretung,12060052,60,052,"Eberswalde, Stadt",WG,Bündnis Eberswalde,Bündnis Eberswalde,4273,9.5,3,0
Gemeindevertretung,12060181,60,181,Panketal,,Wahlberechtigt,Wahlberechtigt,17500,100,0,0
Gemeindevertretung,12060181,60,181,Panketal,,Wähler,Wähler,11631,66.5,0,0
Gemeindevertretung,12060181,60,181,Panketal,,Wahlschein,Wahlschein,2886,24.8,0,0
Gemeindevertretung,12060181,60,181,Panketal,,Gueltig,Gueltig,34027,97.5,0,0
Gemeindevertretung,12060181,60,181,Panketal,,Ungueltig,Ungueltig,153,1.3,0,0
Gemeindevertretung,12060181,60,181,Panketal,,Sitze,Sitze,28,100,0,0
Gemeindevertretung,12060181,60,181,Panketal,P,DIE LINKE,DIE LINKE,5382,15.8,4,3
Gemeindevertretung,12060181,60,181,Panketal,P,CDU,Christlich Demokratische Union Deutschlands,5346,15.7,4,1
Gemeindevertretung,12060181,60,181,Panketal,P,SPD,Sozialdemokratische Partei Deutschlands,6021,17.7,5,2
Gemeindevertretung,12060181,60,181,Panketal,LV,BVB / FREIE WÄHLER Panketal,Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler Panketal,3090,9.1,3,1
Gemeindevertretung,12060181,60,181,Panketal,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,3908,11.5,3,2
Gemeindevertretung,12060181,60,181,Panketal,P,FDP,Freie Demokratische Partei,882,2.6,1,0
Gemeindevertretung,12060181,60,181,Panketal,P,AfD,Alternative für Deutschland,4846,14.2,4,1
Gemeindevertretung,12060181,60,181,Panketal,P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",596,1.8,0,0
Gemeindevertretung,12060181,60,181,Panketal,WG,"WG ""Bündnis Panketal""","Wählergruppe ""Bündnis Panketal""",1366,4,1,1
Gemeindevertretung,12060181,60,181,Panketal,WG,WG Unabhängige Grüne,Wählergruppe Unabhängige Grüne,750,2.2,1,1
Gemeindevertretung,12060181,60,181,Panketal,WG,GiP,"Wählergruppe "" Gemeinsam in Panketal""",1840,5.4,2,2
Gemeindevertretung,12060198,60,198,Schorfheide,,Wahlberechtigt,Wahlberechtigt,8993,100,0,0
Gemeindevertretung,12060198,60,198,Schorfheide,,Wähler,Wähler,5170,57.5,0,0
Gemeindevertretung,12060198,60,198,Schorfheide,,Wahlschein,Wahlschein,1200,23.2,0,0
Gemeindevertretung,12060198,60,198,Schorfheide,,Gueltig,Gueltig,14939,96.3,0,0
Gemeindevertretung,12060198,60,198,Schorfheide,,Ungueltig,Ungueltig,121,2.3,0,0
Gemeindevertretung,12060198,60,198,Schorfheide,,Sitze,Sitze,18,100,0,0
Gemeindevertretung,12060198,60,198,Schorfheide,P,DIE LINKE,DIE LINKE,2098,14,3,3
Gemeindevertretung,12060198,60,198,Schorfheide,P,CDU,Christlich Demokratische Union Deutschlands,1661,11.1,2,0
Gemeindevertretung,12060198,60,198,Schorfheide,P,SPD,Sozialdemokratische Partei Deutschlands,1109,7.4,1,0
Gemeindevertretung,12060198,60,198,Schorfheide,LV,FWSchorfheide,Freie Wähler Schorfheide,1608,10.8,2,0
Gemeindevertretung,12060198,60,198,Schorfheide,P,FDP,Freie Demokratische Partei,404,2.7,0,0
Gemeindevertretung,12060198,60,198,Schorfheide,WG,Bündnis Schorfheide,Bündnis Schorfheide,6613,44.3,8,0
Gemeindevertretung,12060198,60,198,Schorfheide,WG,"Wir - Böhmerh., Gr. Schöneb., Klandorf, Schluft","Wir für Böhmerheide, Groß Schönebeck, Klandorf, Schluft",1446,9.7,2,0
Gemeindevertretung,12060269,60,269,Wandlitz,,Wahlberechtigt,Wahlberechtigt,19723,100,0,0
Gemeindevertretung,12060269,60,269,Wandlitz,,Wähler,Wähler,12495,63.4,0,0
Gemeindevertretung,12060269,60,269,Wandlitz,,Wahlschein,Wahlschein,3210,25.7,0,0
Gemeindevertretung,12060269,60,269,Wandlitz,,Gueltig,Gueltig,36347,97,0,0
Gemeindevertretung,12060269,60,269,Wandlitz,,Ungueltig,Ungueltig,254,2,0,0
Gemeindevertretung,12060269,60,269,Wandlitz,,Sitze,Sitze,28,100,0,0
Gemeindevertretung,12060269,60,269,Wandlitz,P,DIE LINKE,DIE LINKE,4643,12.8,4,3
Gemeindevertretung,12060269,60,269,Wandlitz,P,CDU,Christlich Demokratische Union Deutschlands,5024,13.8,4,1
Gemeindevertretung,12060269,60,269,Wandlitz,P,SPD,Sozialdemokratische Partei Deutschlands,5485,15.1,4,1
Gemeindevertretung,12060269,60,269,Wandlitz,LV,BVB /FREIE WÄHLER Wandlitz,Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler Wandlitz,3262,9,3,1
Gemeindevertretung,12060269,60,269,Wandlitz,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,3461,9.5,3,2
Gemeindevertretung,12060269,60,269,Wandlitz,WG,F.Bg.W.,Freie Bürgergemeinschaft Wandlitz,5812,16,4,0
Gemeindevertretung,12060269,60,269,Wandlitz,P,FDP,Freie Demokratische Partei,600,1.7,0,0
Gemeindevertretung,12060269,60,269,Wandlitz,P,AfD,Alternative für Deutschland,5681,15.6,4,1
Gemeindevertretung,12060269,60,269,Wandlitz,P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",662,1.8,1,0
Gemeindevertretung,12060269,60,269,Wandlitz,WG,UWG,"Unabhängige Wählergemeinschaft ""Mit den Bürgern - Für die Bürger!"" e.V. Freie Bürgergemeinschaft Wandlitz",1015,2.8,1,0
Gemeindevertretung,12060269,60,269,Wandlitz,WG,WfZ,Wir für Zerpenschleuse,228,0.6,0,0
Gemeindevertretung,12060269,60,269,Wandlitz,EB,EK Dirk Reinhard,Einzelwahlvorschlag Reinhardt,474,1.3,0,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",,Wahlberechtigt,Wahlberechtigt,7635,100,0,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",,Wähler,Wähler,4386,57.4,0,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",,Wahlschein,Wahlschein,728,16.6,0,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",,Gueltig,Gueltig,12761,97,0,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",,Ungueltig,Ungueltig,98,2.2,0,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",,Sitze,Sitze,18,100,0,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",P,DIE LINKE,DIE LINKE,1985,15.6,3,1
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,1165,9.1,2,1
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,1728,13.5,3,1
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",LV,Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler Werneuchen,Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler Werneuchen,700,5.5,1,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",WG,Unabhängige Wählergruppe Werneuchen,Unabhängige Wählergruppe Werneuchen,3022,23.7,4,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",P,FDP,Freie Demokratische Partei,263,2.1,0,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",P,AfD,Alternative für Deutschland,2295,18,3,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",361,2.8,1,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",WG,Wählerinitiative Werneuchen,Wählerinitiative Werneuchen,773,6.1,1,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",WG,Bürger für Werneuchen,Bürger für Werneuchen,267,2.1,0,0
Gemeindevertretung,12060280,60,280,"Werneuchen, Stadt",EB,Holger Heinrich,Holger Heinrich,202,1.6,0,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",,Wahlberechtigt,Wahlberechtigt,4983,100,0,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",,Wähler,Wähler,3072,61.6,0,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",,Wahlschein,Wahlschein,708,23,0,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",,Gueltig,Gueltig,8799,95.5,0,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",,Ungueltig,Ungueltig,92,3,0,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",,Sitze,Sitze,18,100,0,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",P,DIE LINKE,DIE LINKE,1668,19,3,1
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,2361,26.8,5,1
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,378,4.3,1,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",LV,BVB/FREIE WÄHLER Biesenthal,Brandenburger Vereinigte Bürgerbewegungen/Freie Wähler Biesenthal,1193,13.6,2,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,877,10,2,1
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",WG,BfB,Bürger für Biesenthal,994,11.3,2,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",WG,ProD,PRO DANEWITZ,392,4.5,1,0
Gemeindevertretung,1206002403,60,024,"Biesenthal, Stadt",WG,BAM,Biesenthals Aktive Mitte,936,10.6,2,1
Gemeindevertretung,1206003403,60,034,Breydin,,Wahlberechtigt,Wahlberechtigt,663,100,0,0
Gemeindevertretung,1206003403,60,034,Breydin,,Wähler,Wähler,441,66.5,0,0
Gemeindevertretung,1206003403,60,034,Breydin,,Wahlschein,Wahlschein,0,0,0,0
Gemeindevertretung,1206003403,60,034,Breydin,,Gueltig,Gueltig,1272,96.1,0,0
Gemeindevertretung,1206003403,60,034,Breydin,,Ungueltig,Ungueltig,15,3.4,0,0
Gemeindevertretung,1206003403,60,034,Breydin,,Sitze,Sitze,10,100,0,0
Gemeindevertretung,1206003403,60,034,Breydin,P,SPD,Sozialdemokratische Partei Deutschlands,248,19.5,2,2
Gemeindevertretung,1206003403,60,034,Breydin,WG,BVB,Bauernverband Barnim e. V. ,596,46.9,5,2
Gemeindevertretung,1206003403,60,034,Breydin,WG,IG-Breydin,Interessengemeinschaft Breydin,428,33.6,3,0
Gemeindevertretung,1206015403,60,154,Marienwerder,,Wahlberechtigt,Wahlberechtigt,1511,100,0,0
Gemeindevertretung,1206015403,60,154,Marienwerder,,Wähler,Wähler,1056,69.9,0,0
Gemeindevertretung,1206015403,60,154,Marienwerder,,Wahlschein,Wahlschein,0,0,0,0
Gemeindevertretung,1206015403,60,154,Marienwerder,,Gueltig,Gueltig,3082,97.3,0,0
Gemeindevertretung,1206015403,60,154,Marienwerder,,Ungueltig,Ungueltig,27,2.6,0,0
Gemeindevertretung,1206015403,60,154,Marienwerder,,Sitze,Sitze,12,100,0,0
Gemeindevertretung,1206015403,60,154,Marienwerder,P,DIE LINKE,DIE LINKE,238,7.7,1,0
Gemeindevertretung,1206015403,60,154,Marienwerder,P,CDU,Christlich Demokratische Union Deutschlands,176,5.7,1,1
Gemeindevertretung,1206015403,60,154,Marienwerder,WG,BÜRGER,Wählergruppe für kommunalpolitisch interessierte Bürger,974,31.6,4,1
Gemeindevertretung,1206015403,60,154,Marienwerder,WG,BBM,Bürgerbündnis Marienwerder,587,19,2,0
Gemeindevertretung,1206015403,60,154,Marienwerder,WG,Heimat,"Wählergruppe für Heimat, Tourismus und ländliche Entwicklung",1107,35.9,4,1
Gemeindevertretung,1206016103,60,161,Melchow,,Wahlberechtigt,Wahlberechtigt,849,100,0,0
Gemeindevertretung,1206016103,60,161,Melchow,,Wähler,Wähler,610,71.8,0,0
Gemeindevertretung,1206016103,60,161,Melchow,,Wahlschein,Wahlschein,0,0,0,0
Gemeindevertretung,1206016103,60,161,Melchow,,Gueltig,Gueltig,1788,97.7,0,0
Gemeindevertretung,1206016103,60,161,Melchow,,Ungueltig,Ungueltig,8,1.3,0,0
