Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB086","Blankenfelde-Mahlow","SPO.DE_DEBB086_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2014","0.287","mg/m3","99.95","1","Background","Suburban","13.4243","52.3497","43.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB086_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB099","Herzfelde, Hauptstr.","SPO.DE_DEBB099_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2017","0.314","mg/m3","99.70","1","Traffic","Suburban","13.8483","52.4819","53.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB099_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB099","Herzfelde, Hauptstr.","SPO.DE_DEBB099_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2018","0.301","mg/m3","99.86","1","Traffic","Suburban","13.8483","52.4819","53.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB099_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB045","Frankfurt (Oder), Leipziger Str.","SPO.DE_DEBB045_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2018","0.383","mg/m3","99.18","1","Traffic","Urban","14.5386","52.3373","56.0","Frankfurt (Oder)                                                                ","DE029C1                                           ","57751","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB045_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB045","Frankfurt (Oder), Leipziger Str.","SPO.DE_DEBB045_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2015","0.424","mg/m3","99.94","1","Traffic","Urban","14.5386","52.3373","56.0","Frankfurt (Oder)                                                                ","DE029C1                                           ","57751","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB045_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2017","0.360","mg/m3","99.77","1","Traffic","Urban","13.0375","52.3939","31.0","Potsdam                                                                         ","DE041C1                                           ","180334","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB054_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2021","0.311","mg/m3","98.74","1","Traffic","Urban","13.0375","52.3939","31.0","Potsdam                                                                         ","DE041C1                                           ","180334","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB054_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB110","Dallgow-Döberitz","SPO.DE_DEBB110_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2019","0.227","mg/m3","53.46","1","Background","Suburban","13.0488","52.5395","39.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB110_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB110","Dallgow-Döberitz","SPO.DE_DEBB110_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2020","0.223","mg/m3","99.78","1","Background","Suburban","13.0488","52.5395","39.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB110_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB110","Dallgow-Döberitz","SPO.DE_DEBB110_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2023","0.186","mg/m3","99.74","1","Background","Suburban","13.0488","52.5395","39.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB110_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB086","Blankenfelde-Mahlow","SPO.DE_DEBB086_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2020","0.216","mg/m3","99.62","1","Background","Suburban","13.4243","52.3497","43.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB086_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB086","Blankenfelde-Mahlow","SPO.DE_DEBB086_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2021","0.249","mg/m3","99.36","1","Background","Suburban","13.4243","52.3497","43.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB086_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE065","Berlin Frankfurter Allee","SPO.DE_DEBE065_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2014","0.443","mg/m3","99.66","1","Traffic","Urban","13.4699","52.5141","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBE065_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE065","Berlin Frankfurter Allee","SPO.DE_DEBE065_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2024","0.298","mg/m3","99.93","3","Traffic","Urban","13.4699","52.5141","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","E2a/UTD AQ e-Reporting","02/01/2025 21:24:24","",""
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB087","Cottbus, W.-Külz-Str.","SPO.DE_DEBB087_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2016","0.349","mg/m3","99.86","1","Traffic","Urban","14.3255","51.7541","75.0","Cottbus                                                                         ","DE539C1                                           ","99678","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB087_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE065","Berlin Frankfurter Allee","SPO.DE_DEBE065_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2022","0.297","mg/m3","99.92","1","Traffic","Urban","13.4699","52.5141","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBE065_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB032","Eisenhüttenstadt","SPO.DE_DEBB032_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2017","0.229","mg/m3","99.90","1","Industrial","Suburban","14.6382","52.1463","40.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB032_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB032","Eisenhüttenstadt","SPO.DE_DEBB032_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2022","0.192","mg/m3","99.66","1","Industrial","Suburban","14.6382","52.1463","40.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB032_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB032","Eisenhüttenstadt","SPO.DE_DEBB032_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2014","0.276","mg/m3","99.90","1","Industrial","Suburban","14.6382","52.1463","40.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB032_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB110","Dallgow-Döberitz","SPO.DE_DEBB110_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2024","0.168","mg/m3","98.85","3","Background","Suburban","13.0488","52.5395","39.0","","","","E2a/UTD AQ e-Reporting","02/01/2025 21:24:24","",""
"Germany","NET.DE_BW","Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg","DEBW019","Ulm","SPO.DE_DEBW019_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2016","0.161","mg/m3","98.47","1","Background","Urban","9.9790","48.3968","481.0","Ulm                                                                             ","DE532C1                                           ","126790","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBW019_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BW","Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg","DEBW080","Karlsruhe Reinhold-Frank-Straße","SPO.DE_DEBW080_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2022","0.223","mg/m3","98.80","1","Traffic","Urban","8.3872","49.0080","119.0","Karlsruhe                                                                       ","DE035C1                                           ","312060","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBW080_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2013","0.447","mg/m3","99.92","1","Traffic","Urban","13.0375","52.3939","31.0","Potsdam                                                                         ","DE041C1                                           ","180334","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB054_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE061","Berlin Schildhornstraße","SPO.DE_DEBE061_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2018","0.371","mg/m3","99.91","1","Traffic","Urban","13.3183","52.4636","45.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBE061_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE061","Berlin Schildhornstraße","SPO.DE_DEBE061_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2019","0.350","mg/m3","99.87","1","Traffic","Urban","13.3183","52.4636","45.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBE061_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE061","Berlin Schildhornstraße","SPO.DE_DEBE061_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2021","0.321","mg/m3","99.87","1","Traffic","Urban","13.3183","52.4636","45.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBE061_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB045","Frankfurt (Oder), Leipziger Str.","SPO.DE_DEBB045_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2019","0.355","mg/m3","99.65","1","Traffic","Urban","14.5386","52.3373","56.0","Frankfurt (Oder)                                                                ","DE029C1                                           ","57751","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB045_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB086","Blankenfelde-Mahlow","SPO.DE_DEBB086_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2018","0.262","mg/m3","99.61","1","Background","Suburban","13.4243","52.3497","43.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB086_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BW","Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg","DEBW098","Mannheim Friedrichsring","SPO.DE_DEBW098_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2021","0.236","mg/m3","97.80","1","Traffic","Urban","8.4720","49.4926","101.0","Mannheim                                                                        ","DE502C1                                           ","310658","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBW098_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE065","Berlin Frankfurter Allee","SPO.DE_DEBE065_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2018","0.357","mg/m3","98.15","1","Traffic","Urban","13.4699","52.5141","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBE065_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE065","Berlin Frankfurter Allee","SPO.DE_DEBE065_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2019","0.348","mg/m3","99.54","1","Traffic","Urban","13.4699","52.5141","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBE065_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE065","Berlin Frankfurter Allee","SPO.DE_DEBE065_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2020","0.315","mg/m3","99.78","1","Traffic","Urban","13.4699","52.5141","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBE065_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE065","Berlin Frankfurter Allee","SPO.DE_DEBE065_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2021","0.331","mg/m3","99.75","1","Traffic","Urban","13.4699","52.5141","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBE065_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BE","Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt","DEBE065","Berlin Frankfurter Allee","SPO.DE_DEBE065_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2023","0.296","mg/m3","99.89","1","Traffic","Urban","13.4699","52.5141","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBE065_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BW","Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg","DEBW022","Kehl","SPO.DE_DEBW022_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2015","0.151","mg/m3","98.41","1","Industrial","Suburban","7.8023","48.5782","136.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBW022_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB045","Frankfurt (Oder), Leipziger Str.","SPO.DE_DEBB045_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2020","0.348","mg/m3","99.65","1","Traffic","Urban","14.5386","52.3373","56.0","Frankfurt (Oder)                                                                ","DE029C1                                           ","57751","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB045_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB032","Eisenhüttenstadt","SPO.DE_DEBB032_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2024","0.201","mg/m3","99.20","3","Industrial","Suburban","14.6382","52.1463","40.0","","","","E2a/UTD AQ e-Reporting","02/01/2025 21:24:24","",""
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB110","Dallgow-Döberitz","SPO.DE_DEBB110_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2022","0.170","mg/m3","99.08","1","Background","Suburban","13.0488","52.5395","39.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB110_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BW","Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg","DEBW033","Pforzheim","SPO.DE_DEBW033_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2013","0.253","mg/m3","97.50","1","Background","Urban","8.6655","48.8890","278.0","Pforzheim                                                                       ","DE533C1                                           ","125957","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBW033_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BW","Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg","DEBW033","Pforzheim","SPO.DE_DEBW033_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2014","0.215","mg/m3","94.59","1","Background","Urban","8.6655","48.8890","278.0","Pforzheim                                                                       ","DE533C1                                           ","125957","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBW033_CO_dataGroup1.parquet","hour"
