Stimmart,ARS,"Landkreisnummer","Gemeindenummer",Gemeindename,Art des Wahl-vorschlags,"Kurzname","Langname",Anzahl,in Prozent,Sitze,darunter Sitze weiblich,nachrichtlich: Sitze Anspruch,Hinweis
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",,Wahlberechtigt,Wahlberechtigt,78002,100,,,,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",,Wähler,Wähler,48855,62.6,,,,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",,Wahlschein,Wahlschein,16456,33.7,,,,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",,Ungültig,Ungültig,742,1.5,,,,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",,Gültig,Gültig,143163,97.7,,,,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",,Sitze,Sitze,46,x,46,14,46,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",P,AfD,Alternative für Deutschland,41895,29.3,14,4,14,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,22881,16.0,7,1,7,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,28125,19.6,9,5,9,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",P,DIE LINKE,DIE LINKE,10168,7.1,3,1,3,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",WG,UC!,Unser Cottbus! ,12905,9.0,4,1,4,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,7060,4.9,2,0,2,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",LV,AUB-Freie Wähler,Aktive unabhängige Bürger - Freie Wähler e. V./BVB/FREIE WÄHLER,6185,4.3,2,0,2,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",P,FDP,Freie Demokratische Partei,2916,2.0,1,1,1,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",LV,SUB,SUB,2701,1.9,1,0,1,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",WG,MIBrb,Mittelstandsinitiative Brandenburg ,5868,4.1,2,0,2,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",WG,ZSC,Zukunftssicheres Cottbus ,2459,1.7,1,1,1,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,67,x,,,,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,67,100,,,,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",,Wahlberechtigt,Wahlberechtigt,46792,100,,,,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",,Wähler,Wähler,27238,58.2,,,,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",,Wahlschein,Wahlschein,5975,21.9,,,,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",,Ungültig,Ungültig,547,2.0,,,,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",,Gültig,Gültig,78848,96.5,,,,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",,Sitze,Sitze,46,x,46,12,46,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",P,DIE LINKE,DIE LINKE,12449,15.8,7,2,7,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",P,CDU,Christlich Demokratische Union Deutschlands,18030,22.9,11,2,11,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",P,AfD,Alternative für Deutschland,22600,28.7,13,2,13,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",LV,GRÜNE/B 90 & BI Stadtentwicklung,Bündnis 90/DIE GRÜNEN & Bürgerinitiative Stadtentwicklung,4802,6.1,3,2,3,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,9990,12.7,6,2,6,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",P,FDP,Freie Demokratische Partei,2971,3.8,2,1,2,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",LV,FBI / BVB / FREIE WÄHLER,Frankfurter-Bürger-Initiative / BVB / FREIE WÄHLER,4135,5.2,2,0,2,
Gemeindevertretung,120530000000,53,000,"Frankfurt (Oder), Stadt",P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",3871,4.9,2,1,2,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,195,x,,,,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,195,100,,,,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",,Wahlberechtigt,Wahlberechtigt,143118,100,,,,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",,Wähler,Wähler,100728,70.4,,,,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",,Wahlschein,Wahlschein,31621,31.4,,,,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",,Ungültig,Ungültig,1665,1.7,,,,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",,Gültig,Gültig,295020,97.6,,,,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",,Sitze,Sitze,56,x,56,23,56,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,57258,19.4,11,4,11,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,42804,14.5,8,7,8,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",P,DIE LINKE,DIE LINKE,25778,8.7,5,4,5,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,43494,14.7,8,2,8,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",WG,aNDERE,DIE aNDERE,29973,10.2,6,4,6,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",P,AfD,Alternative für Deutschland,40321,13.7,8,0,8,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",P,FDP,Freie Demokratische Partei,13155,4.5,2,0,2,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",7837,2.7,1,1,1,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",LV,BVB / FREIE WÄHLER,Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler,8686,2.9,2,0,2,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",WG,BfW,Bündnis für Vernunft und Gerechtigkeit - Wählerinitiative,16167,5.5,3,1,3,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",WG,Mitten in Potsdam,Bündnis Niekisch-Friederich: Mitten in Potsdam,3559,1.2,1,0,1,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",P,Volt,Volt Deutschland,5503,1.9,1,0,1,
Gemeindevertretung,120540000000,54,000,"Potsdam, Stadt",EB,EB Witzsche,Einzelwahlvorschlag Witzsche,485,0.2,0,0,0,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,28,x,,,,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,28,100,,,,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,,Wahlberechtigt,Wahlberechtigt,11981,100,,,,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,,Wähler,Wähler,8892,74.2,,,,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,,Wahlschein,Wahlschein,2546,28.6,,,,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,,Ungültig,Ungültig,131,1.5,,,,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,,Gültig,Gültig,25920,97.2,,,,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,,Sitze,Sitze,22,x,22,11,22,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,P,CDU,Christlich Demokratische Union Deutschlands,4030,15.5,3,1,3,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,P,DIE LINKE,DIE LINKE,1247,4.8,1,1,1,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,P,AfD,Alternative für Deutschland,5968,23,5,2,5,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,P,SPD,Sozialdemokratische Partei Deutschlands,2642,10.2,2,1,2,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,LV,BVB / FREIE WÄHLER - AHRENSFELDE,BVB / FREIE WÄHLER - AHRENSFELDE,1962,7.6,2,1,2,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,1091,4.2,1,1,1,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,WG,AWG,Ahrensfelder Wählergemeinschaft,4578,17.7,4,2,4,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,WG,BVE,Bürgerverein Eiche e.V.,2221,8.6,2,1,2,
Gemeindevertretung,120600005005,60,005,Ahrensfelde,WG,BfA,Bürger für Ahrensfelde,2181,8.4,2,1,2,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,59,x,,,,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,59,100,,,,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",,Wahlberechtigt,Wahlberechtigt,36435,100,,,,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",,Wähler,Wähler,24344,66.8,,,,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",,Wahlschein,Wahlschein,7490,30.8,,,,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",,Ungültig,Ungültig,445,1.8,,,,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",,Gültig,Gültig,70649,96.7,,,,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",,Sitze,Sitze,36,x,36,12,36,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,10922,15.5,6,1,6,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",P,DIE LINKE,DIE LINKE,10568,15,5,3,5,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",P,AfD,Alternative für Deutschland,13952,19.7,7,0,7,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,6296,8.9,3,2,3,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,4482,6.3,2,2,2,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",P,FDP,Freie Demokratische Partei,902,1.3,1,1,1,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",1934,2.7,1,0,1,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",WG,Bündnis für Bernau e.V.,Bündnis für Bernau e.V.,5272,7.5,3,1,3,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",EB,EB Link,Einzelvorschlag Link,428,0.6,0,0,0,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",LV,BVB / FREIE WÄHLER Bernau,Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler Bernau,15616,22.1,8,2,8,
Gemeindevertretung,120600020020,60,020,"Bernau bei Berlin, Stadt",EB,EB Neue,Einzelvorschlag Neue,277,0.4,0,0,0,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,43,x,,,,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,43,100,,,,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",,Wahlberechtigt,Wahlberechtigt,33791,100,,,,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",,Wähler,Wähler,19278,57.1,,,,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",,Wahlschein,Wahlschein,5189,26.9,,,,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",,Ungültig,Ungültig,374,1.9,,,,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",,Gültig,Gültig,56072,97,,,,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",,Sitze,Sitze,36,x,36,7,36,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,6591,11.8,4,0,4,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",P,DIE LINKE,DIE LINKE,6590,11.8,4,2,4,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",P,AfD,Alternative für Deutschland,13494,24.1,9,1,9,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,6203,11.1,4,1,4,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,3978,7.1,3,2,3,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",P,FDP,Freie Demokratische Partei,3344,6,2,0,2,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",WG,Bündnis Eberswalde,Bündnis Eberswalde,6617,11.8,4,0,4,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",WG,Bürgerfraktion Barnim,Bürgerfraktion Barnim,1261,2.2,1,0,1,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",WG,BfE,Bürger für Eberswalde,4261,7.6,3,1,3,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",WG,BVB / FREIE WÄHLER EBERSWALDE Eberswalde,BVB / FREIE WÄHLER Eberswalde,1201,2.1,1,0,1,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",EB,EB Fiedler,Einzelwahlvorschlag Fiedler,392,0.7,0,0,0,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",EB,EB Ludewig,Einzelwahlvorschlag Ludewig,377,0.7,0,0,0,
Gemeindevertretung,120600052052,60,052,"Eberswalde, Stadt",LV,Die PARTEI/ALE/BI Radwege,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative, Alternative Liste Eberswalde, Bürgerinitiative Radwege in Eberswalde",1763,3.1,1,0,1,
Gemeindevertretung,120600181181,60,181,Panketal,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,23,x,,,,
Gemeindevertretung,120600181181,60,181,Panketal,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,23,100,,,,
Gemeindevertretung,120600181181,60,181,Panketal,,Wahlberechtigt,Wahlberechtigt,17606,100,,,,
Gemeindevertretung,120600181181,60,181,Panketal,,Wähler,Wähler,12896,73.2,,,,
Gemeindevertretung,120600181181,60,181,Panketal,,Wahlschein,Wahlschein,4172,32.4,,,,
Gemeindevertretung,120600181181,60,181,Panketal,,Ungültig,Ungültig,209,1.6,,,,
Gemeindevertretung,120600181181,60,181,Panketal,,Gültig,Gültig,37731,97.5,,,,
Gemeindevertretung,120600181181,60,181,Panketal,,Sitze,Sitze,28,x,28,11,28,
Gemeindevertretung,120600181181,60,181,Panketal,P,CDU,Christlich Demokratische Union Deutschlands,7207,19.1,5,3,5,
Gemeindevertretung,120600181181,60,181,Panketal,P,DIE LINKE,DIE LINKE,4081,10.8,3,2,3,
Gemeindevertretung,120600181181,60,181,Panketal,P,AfD,Alternative für Deutschland,7781,20.6,6,0,6,
Gemeindevertretung,120600181181,60,181,Panketal,P,SPD,Sozialdemokratische Partei Deutschlands,4809,12.7,3,1,3,
Gemeindevertretung,120600181181,60,181,Panketal,LV,BVB / FREIE WÄHLER Panketal,BVB / FREIE WÄHLER Panketal,6295,16.7,5,2,5,
Gemeindevertretung,120600181181,60,181,Panketal,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,3752,9.9,3,2,3,
Gemeindevertretung,120600181181,60,181,Panketal,P,FDP,Freie Demokratische Partei,867,2.3,1,0,1,
Gemeindevertretung,120600181181,60,181,Panketal,P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",1006,2.7,1,0,1,
Gemeindevertretung,120600181181,60,181,Panketal,LV,100% Panketal,"Listenvereinigung „100% Panketal""",1933,5.1,1,1,1,
Gemeindevertretung,120600198198,60,198,Schorfheide,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,18,x,,,,
Gemeindevertretung,120600198198,60,198,Schorfheide,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,18,100,,,,
Gemeindevertretung,120600198198,60,198,Schorfheide,,Wahlberechtigt,Wahlberechtigt,9059,100,,,,
Gemeindevertretung,120600198198,60,198,Schorfheide,,Wähler,Wähler,6355,70.2,,,,
Gemeindevertretung,120600198198,60,198,Schorfheide,,Wahlschein,Wahlschein,1667,26.2,,,,
Gemeindevertretung,120600198198,60,198,Schorfheide,,Ungültig,Ungültig,109,1.7,,,,
Gemeindevertretung,120600198198,60,198,Schorfheide,,Gültig,Gültig,18479,96.9,,,,
Gemeindevertretung,120600198198,60,198,Schorfheide,,Sitze,Sitze,15,x,15,1,18,
Gemeindevertretung,120600198198,60,198,Schorfheide,P,CDU,Christlich Demokratische Union Deutschlands,1981,10.7,2,0,2,
Gemeindevertretung,120600198198,60,198,Schorfheide,P,DIE LINKE,DIE LINKE,1772,9.6,2,1,2,
Gemeindevertretung,120600198198,60,198,Schorfheide,P,AfD,Alternative für Deutschland,4092,22.1,1,0,4,
Gemeindevertretung,120600198198,60,198,Schorfheide,P,SPD,Sozialdemokratische Partei Deutschlands,1091,5.9,1,0,1,
Gemeindevertretung,120600198198,60,198,Schorfheide,LV,Freie Wähler Schorfheide,Freie Wähler Schorfheide,1646,8.9,2,0,2,
Gemeindevertretung,120600198198,60,198,Schorfheide,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,548,3,0,0,0,
Gemeindevertretung,120600198198,60,198,Schorfheide,WG,Bündnis Schorfheide,Bündnis Schorfheide,5311,28.7,5,0,5,
Gemeindevertretung,120600198198,60,198,Schorfheide,WG,WIR,"WIR für Böhmerheide, Groß Schönebeck, Klandorf, Schluft",1723,9.3,2,0,2,
Gemeindevertretung,120600198198,60,198,Schorfheide,WG,Pro Eichhorst,Pro Eichhorst,315,1.7,0,0,0,
Gemeindevertretung,120600269269,60,269,Wandlitz,,Anzahl Wahlbezirke,Anzahl Wahlbezirke,25,x,,,,
Gemeindevertretung,120600269269,60,269,Wandlitz,,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,25,100,,,,
Gemeindevertretung,120600269269,60,269,Wandlitz,,Wahlberechtigt,Wahlberechtigt,20481,100,,,,
Gemeindevertretung,120600269269,60,269,Wandlitz,,Wähler,Wähler,14574,71.2,,,,
Gemeindevertretung,120600269269,60,269,Wandlitz,,Wahlschein,Wahlschein,4471,30.7,,,,
Gemeindevertretung,120600269269,60,269,Wandlitz,,Ungültig,Ungültig,253,1.7,,,,
Gemeindevertretung,120600269269,60,269,Wandlitz,,Gültig,Gültig,42132,96.4,,,,
Gemeindevertretung,120600269269,60,269,Wandlitz,,Sitze,Sitze,28,x,28,9,28,
Gemeindevertretung,120600269269,60,269,Wandlitz,P,CDU,Christlich Demokratische Union Deutschlands,6396,15.2,4,1,4,
Gemeindevertretung,120600269269,60,269,Wandlitz,P,DIE LINKE,DIE LINKE,2317,5.5,2,2,2,
