Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Germany","","","DENW056","","SPO-DENW056_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","1990","156.000","ug/m3","95.66","","Background","suburban","6.9888","50.9693","40.0","Köln                                                                            ","DE004C1                                           ","1087863","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DESH012","","SPO-DESH012_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max-per99.73","1 year 99.73 %ile of hourly values in a given year","1990","214.000","ug/m3","23.36","","Background","suburban","10.1044","54.3442","25.0","Kiel                                                                            ","DE039C1                                           ","246794","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DENW023","","SPO-DENW023_00001_100","SO2","Sulphur dioxide (air)","P1Y-daysAbove125","1 year day exceed 125","1990","0.000","count","92.88","","Background","suburban","7.2239","51.5276","70.0","Herne                                                                           ","DE515C1                                           ","156449","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DENW054","","SPO-DENW054_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max","1 year day max","1990","65.522","ug/m3","96.71","","Background","suburban","7.0060","51.0384","45.0","Leverkusen                                                                      ","DE519C1                                           ","163729","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DENW026","","SPO-DENW026_00001_100","SO2","Sulphur dioxide (air)","P1Y","Annual mean / 1 calendar year","1990","22.082","ug/m3","88.30","","Background","suburban","7.0928","51.4556","97.0","Essen                                                                           ","DE006C1                                           ","582760","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DESN009","","SPO-DESN009_00001_100","SO2","Sulphur dioxide (air)","P1Y","Annual mean / 1 calendar year","1990","128.954","ug/m3","96.46","","Background","suburban","12.9591","50.8676","","Chemnitz                                                                        ","DE505C1                                           ","246334","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DENW036","","SPO-DENW036_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max25","1 year hour max 25","1990","170.000","ug/m3","95.69","","Background","suburban","6.6482","51.4595","28.0","Moers                                                                           ","DE023C1                                           ","103902","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE034","","SPO-DEBE034_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","1990","750.000","ug/m3","99.30","","Background","urban","13.4308","52.4895","35.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW083","","SPO-DEBW083_00001_100","SO2","Sulphur dioxide (air)","P1Y-daysAbove125","1 year day exceed 125","1990","0.000","count","93.97","","Traffic","urban","7.8549","47.9997","260.0","Freiburg im Breisgau                                                            ","DE027C1                                           ","231195","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW083","","SPO-DEBW083_00007_100","O3","Ozone (air)","P1Y-dmax-per93.15","1 year 93.15 percentile daily 8h maximum","1990","148.544","ug/m3","75.89","","Traffic","urban","7.8549","47.9997","260.0","Freiburg im Breisgau                                                            ","DE027C1                                           ","231195","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW036","","SPO-DEBW036_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max4","1 year day max 4","1990","50.548","ug/m3","91.78","","Background","urban","9.0585","48.5244","330.0","Tübingen                                                                        ","DE050C1                                           ","91506","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW036","","SPO-DEBW036_00007_100","O3","Ozone (air)","P1Y-hr-max","1 year hour max","1990","209.750","ug/m3","86.51","","Background","urban","9.0585","48.5244","330.0","Tübingen                                                                        ","DE050C1                                           ","91506","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE009","","SPO-DEBE009_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-per50","1 year 50 percentile","1990","22.000","ug/m3","98.23","","Background","suburban","13.2885","52.5511","35.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE012","","SPO-DEBE012_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-per50","1 year 50 percentile","1990","27.000","ug/m3","100.00","","Background","suburban","13.1680","52.5128","35.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE014","","SPO-DEBE014_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max-per99.73","1 year 99.73 %ile of hourly values in a given year","1990","344.000","ug/m3","97.82","","Traffic","urban","13.2822","52.5174","50.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE015","","SPO-DEBE015_00001_100","SO2","Sulphur dioxide (air)","P1Y-hrsAbove350","1 year hour exceed 350","1990","27.000","count","97.28","","Traffic","urban","13.3391","52.5190","35.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE016","","SPO-DEBE016_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-per50","1 year 50 percentile","1990","32.000","ug/m3","99.43","","Background","urban","13.4045","52.4976","35.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE017","","SPO-DEBE017_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max-per99.18","1 year 99.18 percentile of daily maximum","1990","147.625","ug/m3","70.96","","Background","suburban","13.2936","52.4707","50.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE018","","SPO-DEBE018_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1990","35.875","ug/m3","96.71","","Background","urban","13.3488","52.4858","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE018","","SPO-DEBE018_00001_100","SO2","Sulphur dioxide (air)","P1Y-daysAbove125","1 year day exceed 125","1990","29.000","count","96.71","","Background","urban","13.3488","52.4858","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE018","","SPO-DEBE018_00001_100","SO2","Sulphur dioxide (air)","P1Y-hrsAbove350","1 year hour exceed 350","1990","15.000","count","97.32","","Background","urban","13.3488","52.4858","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE021","","SPO-DEBE021_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max-per99.18","1 year 99.18 percentile of daily maximum","1990","240.875","ug/m3","97.81","","Background","suburban","13.2427","52.4455","45.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE021","","SPO-DEBE021_00001_100","SO2","Sulphur dioxide (air)","P1Y-daysAbove125","1 year day exceed 125","1990","27.000","count","97.81","","Background","suburban","13.2427","52.4455","45.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE026","","SPO-DEBE026_00001_100","SO2","Sulphur dioxide (air)","P1Y-hrsAbove350","1 year hour exceed 350","1990","7.000","count","99.75","","Industrial","rural","13.2755","52.4092","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE027","","SPO-DEBE027_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","1990","416.000","ug/m3","98.54","","Industrial","rural","13.3681","52.3984","45.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW001","","SPO-DEBW001_00001_100","SO2","Sulphur dioxide (air)","P1Y-hrsAbove350","1 year hour exceed 350","1990","0.000","count","80.62","","Traffic","urban","8.4184","49.0101","117.0","Karlsruhe                                                                       ","DE035C1                                           ","312060","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE032","","SPO-DEBE032_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max-per99.73","1 year 99.73 %ile of hourly values in a given year","1990","283.000","ug/m3","97.18","","Background","rural","13.2251","52.4732","50.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW002","","SPO-DEBW002_00001_100","SO2","Sulphur dioxide (air)","P1Y","Annual mean / 1 calendar year","1990","23.242","ug/m3","91.99","","Traffic","urban","8.3538","49.0091","115.0","Karlsruhe                                                                       ","DE035C1                                           ","312060","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW002","","SPO-DEBW002_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-per50","1 year 50 percentile","1990","19.750","ug/m3","91.99","","Traffic","urban","8.3538","49.0091","115.0","Karlsruhe                                                                       ","DE035C1                                           ","312060","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE033","","SPO-DEBE033_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hr-max-per99.79","1 year 99.79 %ile of hourly values in a given year","1990","111.000","ug/m3","95.11","","Industrial","urban","13.2599","52.5325","35.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY043","","SPO-DEBY043_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","1990","130.000","ug/m3","99.91","","Traffic","urban","11.5147","48.1790","508.0","München                                                                         ","DE003C1                                           ","1484226","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY045","","SPO-DEBY045_00008_100","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","1990","50.521","ug/m3","99.60","","Traffic","urban","11.5194","48.1316","531.0","München                                                                         ","DE003C1                                           ","1484226","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW001","","SPO-DEBW001_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max","1 year day max","1990","81.470","ug/m3","83.29","","Traffic","urban","8.4184","49.0101","117.0","Karlsruhe                                                                       ","DE035C1                                           ","312060","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW007","","SPO-DEBW007_00001_140","SO2","Sulphur dioxide (air)","P1Y","Annual mean / 1 calendar year","1990","25.976","ug/m3","80.10","","Background","urban","8.5258","49.4320","100.0","Mannheim                                                                        ","DE502C1                                           ","310658","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW009","","SPO-DEBW009_00001_120","SO2","Sulphur dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1990","15.152","ug/m3","97.26","","Traffic","urban","8.6767","49.4195","112.0","Heidelberg                                                                      ","DE522C1                                           ","161485","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW039","","SPO-DEBW039_00001_110","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","1990","143.050","ug/m3","90.42","","Background","suburban","8.4636","48.0487","700.0","Villingen-Schwenningen                                                          ","DE051C1                                           ","85707","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW011","","SPO-DEBW011_00001_120","SO2","Sulphur dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1990","13.624","ug/m3","80.82","","Traffic","urban","9.1725","48.8256","272.0","Stuttgart                                                                       ","DE007C1                                           ","635911","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW011","","SPO-DEBW011_00001_120","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","1990","176.450","ug/m3","78.55","","Traffic","urban","9.1725","48.8256","272.0","Stuttgart                                                                       ","DE007C1                                           ","635911","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW012","","SPO-DEBW012_00001_140","SO2","Sulphur dioxide (air)","P1Y-day-max","1 year day max","1990","84.533","ug/m3","89.86","","Background","urban","9.1648","48.7759","260.0","Stuttgart                                                                       ","DE007C1                                           ","635911","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW012","","SPO-DEBW012_00007_100","O3","Ozone (air)","P1Y-hr-max","1 year hour max","1990","193.900","ug/m3","94.02","","Background","urban","9.1648","48.7759","260.0","Stuttgart                                                                       ","DE007C1                                           ","635911","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW014","","SPO-DEBW014_00001_200","SO2","Sulphur dioxide (air)","P1Y-hr-per50","1 year 50 percentile","1990","14.050","ug/m3","84.68","","Industrial","suburban","9.2655","48.7523","235.0","Stuttgart                                                                       ","DE007C1                                           ","635911","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY054","","SPO-DEBY054_00001_200","SO2","Sulphur dioxide (air)","P1Y-hr-per50","1 year 50 percentile","1990","12.000","ug/m3","99.56","","Traffic","urban","11.1058","49.4771","320.0","Nürnberg                                                                        ","DE014C1                                           ","518370","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY054","","SPO-DEBY054_00001_200","SO2","Sulphur dioxide (air)","P1Y-hrsAbove350","1 year hour exceed 350","1990","0.000","count","99.56","","Traffic","urban","11.1058","49.4771","320.0","Nürnberg                                                                        ","DE014C1                                           ","518370","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW024","","SPO-DEBW024_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","1990","133.100","ug/m3","87.26","","Background","suburban","9.1728","48.8992","302.0","Ludwigsburg                                                                     ","DE049C1                                           ","93584","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY057","","SPO-DEBY057_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","1990","223.000","ug/m3","98.96","","Background","urban","11.1433","49.4627","320.0","Nürnberg                                                                        ","DE014C1                                           ","518370","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY057","","SPO-DEBY057_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max25","1 year hour max 25","1990","148.000","ug/m3","98.96","","Background","urban","11.1433","49.4627","320.0","Nürnberg                                                                        ","DE014C1                                           ","518370","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY058","","SPO-DEBY058_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max4","1 year day max 4","1990","76.833","ug/m3","97.53","","Background","urban","11.0248","49.4622","300.0","Nürnberg                                                                        ","DE014C1                                           ","518370","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY057","","SPO-DEBY057_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max4","1 year day max 4","1990","89.083","ug/m3","98.36","","Background","urban","11.1433","49.4627","320.0","Nürnberg                                                                        ","DE014C1                                           ","518370","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY057","","SPO-DEBY057_00001_100","SO2","Sulphur dioxide (air)","P1Y-hrsAbove350","1 year hour exceed 350","1990","0.000","count","98.96","","Background","urban","11.1433","49.4627","320.0","Nürnberg                                                                        ","DE014C1                                           ","518370","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW025","","SPO-DEBW025_00008_100","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","1990","46.045","ug/m3","81.28","","Background","urban","9.3340","48.7274","240.0","Esslingen am Neckar                                                             ","DE046C1                                           ","94145","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY057","","SPO-DEBY057_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hr-max","1 year hour max","1990","132.000","ug/m3","87.04","","Background","urban","11.1433","49.4627","320.0","Nürnberg                                                                        ","DE014C1                                           ","518370","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW038","","SPO-DEBW038_00001_100","SO2","Sulphur dioxide (air)","P1Y-hrsAbove350","1 year hour exceed 350","1990","0.000","count","91.47","","Traffic","urban","9.4857","47.6601","404.0","Friedrichshafen                                                                 ","DE072C1                                           ","61283","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEHE021","","SPO-DEHE021_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max","1 year day max","1990","89.432","ug/m3","95.89","","Traffic","urban","8.2431","50.0814","118.0","Wiesbaden                                                                       ","DE020C1                                           ","278474","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY068","","SPO-DEBY068_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max4","1 year day max 4","1990","80.500","ug/m3","95.62","","Traffic","urban","10.2321","50.0484","231.0","Schweinfurt                                                                     ","DE077C1                                           ","53426","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY003","","SPO-DEBY003_00001_110","SO2","Sulphur dioxide (air)","P1Y","Annual mean / 1 calendar year","1990","13.506","ug/m3","93.15","","Background","urban","9.1508","49.9715","133.0","Aschaffenburg                                                                   ","DE061C1                                           ","71002","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW014","","SPO-DEBW014_00008_200","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1990","34.218","ug/m3","94.80","","Industrial","suburban","9.2655","48.7523","235.0","Stuttgart                                                                       ","DE007C1                                           ","635911","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY077","","SPO-DEBY077_00001_120","SO2","Sulphur dioxide (air)","P1Y-day-max","1 year day max","1990","133.833","ug/m3","96.16","","Background","suburban","9.9564","49.8047","226.0","Würzburg                                                                        ","DE524C1                                           ","127934","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEHE035","","SPO-DEHE035_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hr-per50","1 year 50 percentile","1990","55.000","ug/m3","67.79","","Traffic","urban","9.4806","51.2989","148.0","Kassel                                                                          ","DE513C1                                           ","202137","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DENI011","","SPO-DENI011_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max25","1 year hour max 25","1990","218.500","ug/m3","90.99","","Background","suburban","10.4736","52.2269","98.0","Braunschweig                                                                    ","DE506C1                                           ","249406","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW051","","SPO-DEBW051_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hrsAbove200","1 year hour exceed 200","1990","0.000","count","40.61","","Background","urban","9.2214","49.1458","160.0","Heilbronn                                                                       ","DE529C1                                           ","126592","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW052","","SPO-DEBW052_00001_100","SO2","Sulphur dioxide (air)","P1Y-daysAbove125","1 year day exceed 125","1990","1.000","count","23.84","","Background","urban","9.1693","47.6644","403.0","Konstanz                                                                        ","DE054C1                                           ","84911","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBW052","","SPO-DEBW052_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","1990","261.300","ug/m3","23.08","","Background","urban","9.1693","47.6644","403.0","Konstanz                                                                        ","DE054C1                                           ","84911","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE001","","SPO-DEBE001_00001_100","SO2","Sulphur dioxide (air)","P1Y","Annual mean / 1 calendar year","1990","38.568","ug/m3","95.34","","Background","suburban","13.2271","52.6216","35.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE001","","SPO-DEBE001_00007_100","O3","Ozone (air)","P1Y-dmax-per93.15","1 year 93.15 percentile daily 8h maximum","1990","126.125","ug/m3","96.71","","Background","suburban","13.2271","52.6216","35.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE001","","SPO-DEBE001_00007_100","O3","Ozone (air)","P1Y-dx-max26","1 year daymax max 26","1990","124.750","ug/m3","96.71","","Background","suburban","13.2271","52.6216","35.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBE004","","SPO-DEBE004_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max-per99.73","1 year 99.73 %ile of hourly values in a given year","1990","316.000","ug/m3","94.76","","Background","rural","13.2342","52.5876","35.0","Berlin                                                                          ","DE001C1                                           ","3669491","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY076","","SPO-DEBY076_00007_600","O3","Ozone (air)","P1Y-day-max","1 year day max","1990","50.375","ug/m3","15.89","","Traffic","urban","9.9359","49.7946","179.0","Würzburg                                                                        ","DE524C1                                           ","127934","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY076","","SPO-DEBY076_00007_600","O3","Ozone (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1990","8.250","ug/m3","15.89","","Traffic","urban","9.9359","49.7946","179.0","Würzburg                                                                        ","DE524C1                                           ","127934","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY015","","SPO-DEBY015_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hr-max","1 year hour max","1990","153.000","ug/m3","97.02","","Background","urban","11.0173","49.5966","280.0","Erlangen                                                                        ","DE545C1                                           ","112528","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY016","","SPO-DEBY016_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max","1 year day max","1990","158.708","ug/m3","98.63","","Background","suburban","11.0166","49.5876","290.0","Erlangen                                                                        ","DE545C1                                           ","112528","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEBY016","","SPO-DEBY016_00001_100","SO2","Sulphur dioxide (air)","P1Y-hrsAbove350","1 year hour exceed 350","1990","0.000","count","98.84","","Background","suburban","11.0166","49.5876","290.0","Erlangen                                                                        ","DE545C1                                           ","112528","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEHH001","","SPO-DEHH001_00001_100","SO2","Sulphur dioxide (air)","P1Y","Annual mean / 1 calendar year","1990","19.614","ug/m3","97.39","","Background","urban","9.9068","53.5997","18.0","Hamburg                                                                         ","DE002C1                                           ","1847253","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEHH002","","SPO-DEHH002_00001_100","SO2","Sulphur dioxide (air)","P1Y-daysAbove125","1 year day exceed 125","1990","7.000","count","98.36","","Background","urban","9.9611","53.5992","11.0","Hamburg                                                                         ","DE002C1                                           ","1847253","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
